customer_id,customer_name,address,city,state,zip
CUST000001,Olive Garden,935 Sunset St,Brooklyn,NY,11256
CUST000002,Bar Louie,7985 Main Pl,Queens,NY,11392
CUST000003,Chipotle Mexican Grill,"8399 Washington Ct, Unit B",Atlanta,GA,30363
CUST000004,Grand by Hyatt Pittsburgh,"5785 Bay Way, Unit B",Pittsburgh,PA,15274
CUST000005,House by Hyatt Providence,"5018 Highland Dr, Ste A",Providence,RI,02993
CUST000006,Nguyen's Diner,"3088 Sunset Pl, Ste A",New Orleans,LA,70102
CUST000007,Mama Miller's,"3748 Sunset St, Ste A",Queens,NY,11342
CUST000008,Safeway,"1846 Broad Blvd, Unit B",Chicago,IL,60691
CUST000009,Wingstop,"3506 Industrial Pl, Ste A",Tampa,FL,33610
CUST000010,Applebee's,"975 Church Rd, Unit B",Buffalo,NY,14238
CUST000011,Holiday Inn Express Boston,573 Lake Ct,Memphis,TN,38143
CUST000012,Corner Pocket Billiards & Bar,"8343 Park Dr, Unit B",Virginia Beach,VA,23411
CUST000013,HEB,"7419 Green St, Suite 100",Madison,WI,53751
CUST000014,Denver Taproom,"6503 Green Rd, Suite 200",Denver,CO,80257
CUST000015,House by Hyatt Cleveland,"5603 Market Pl, #101",Cleveland,OH,44146
CUST000016,Mama DeLuca's,"7592 Oak Pl, Suite 100",Fort Worth,TX,76118
CUST000017,Blu by Radisson Wilmington,"3155 Elm Pkwy, Unit B",Wilmington,DE,19889
CUST000018,Safeway,"3348 Commerce Ct, Unit B",Brooklyn,NY,11213
CUST000019,Yard House,"3333 Division Rd, Suite 100",Atlanta,GA,30365
CUST000020,ABC Fine Wine & Spirits,"8471 Walnut Pl, Ste A",Eugene,OR,97475
CUST000021,Jones's Liquor Store,"9552 Main Ave, Unit B",Orlando,FL,32862
CUST000022,Mama Patel's Kitchen,9460 Maple Ave,New York,NY,10099
CUST000023,Binny's Beverage Depot,5580 Garden Ln,Sioux Falls,SD,57114
CUST000024,Homewood Suites by Hilton Las Vegas,5388 Green Pl,Las Vegas,NV,89159
CUST000025,The Cheesecake Factory,"2963 Broad Ct, Suite 200",Omaha,NE,68120
CUST000026,The Richmond Grille,"9966 Green Blvd, Unit B",Richmond,VA,23271
CUST000027,Meijer,3123 Commerce Ct,Dallas,TX,75296
CUST000028,Cheers Bar & Grill,4040 Washington Ln,Lexington,KY,40577
CUST000029,Premier Wine & Spirits,"8268 Park Way, Ste A",Phoenix,AZ,85072
CUST000030,Pilot Flying J #3023,"9024 Market Way, Suite 100",Cincinnati,OH,45257
CUST000031,Total Spirits Reno,"5020 Highland Way, #101",Reno,NV,89575
CUST000032,Sam's Club,5929 Green Ln,Sioux Falls,SD,57117
CUST000033,Waffle House,"6712 Elm Ct, Suite 100",Honolulu,HI,96859
CUST000034,Trader Joe's,8008 Spring Way,Fargo,ND,58146
CUST000035,The Saddle & Saddle,"4963 Division Pkwy, Ste A",Lexington,KY,40568
CUST000036,Sam's Club,"4638 Chestnut Blvd, Unit B",Los Angeles,CA,90028
CUST000037,Kwik Trip #228,8736 Chestnut Blvd,Tampa,FL,33645
CUST000038,Al's Bar & Grill,"9722 Hill Blvd, Suite 100",Detroit,MI,48262
CUST000039,Pat's Grill,"4022 Green Pl, Suite 100",San Diego,CA,92185
CUST000040,Nick's Grill,"6035 Forest Ln, Unit B",Las Vegas,NV,89168
CUST000041,Walgreens,3190 Main Dr,Memphis,TN,38137
CUST000042,The Rusty Nail,4990 Washington Ave,Annapolis,MD,21493
CUST000043,Springhill Suites by Marriott Fargo,"4574 Center Pl, Suite 200",Fargo,ND,58129
CUST000044,Hooters,"8522 Harbor Rd, Suite 200",Oklahoma City,OK,73111
CUST000045,Corner Pocket Billiards & Bar,2408 Washington Blvd,Memphis,TN,38170
CUST000046,Buffalo Wild Wings,6608 Meadow Pkwy,Jacksonville,FL,32251
CUST000047,Steak 'n Shake,2294 Hill Rd,New Orleans,LA,70112
CUST000048,Holiday Inn by IHG Memphis,3604 Peach Ct,Memphis,TN,38103
CUST000049,Staybridge Suites by IHG Pittsburgh,7720 Chestnut St,Pittsburgh,PA,15202
CUST000050,Speedway #4630,4021 Main Pl,New York,NY,10026
CUST000051,Main Street Liquors,"533 Sunset Ave, Suite 200",Jackson,MS,39285
CUST000052,Sam's Club,8570 Pine Dr,Brooklyn,NY,11201
CUST000053,Trader Joe's,"5006 Meadow Blvd, Suite 200",Columbia,SC,29240
CUST000054,Omni Dallas Hotel,5739 Magnolia Ln,Anchorage,AK,99535
CUST000055,Anchorage Liquors,8651 Commerce Ave,Anchorage,AK,99511
CUST000056,Mama Patel's Pizzeria,"3060 Church Ave, Suite 200",Oklahoma City,OK,73162
CUST000057,Lidl,"4017 Cherry Rd, Ste A",Pittsburgh,PA,15240
CUST000058,Walgreens,8425 Walnut St,Virginia Beach,VA,23433
CUST000059,Pilot Flying J #4119,"7298 Garden Pkwy, Unit B",Sacramento,CA,95800
CUST000060,Holiday Inn Express by IHG Jackson,3583 Highland Dr,Jackson,MS,39269
CUST000061,New York Liquors,"1106 Magnolia St, Unit B",New York,NY,10001
CUST000062,Johnson Family Restaurant,"8510 Magnolia Ct, Suite 200",Cincinnati,OH,45208
CUST000063,Lidl,8500 Garden Pl,Austin,TX,78719
CUST000064,Choice Hotels Econo Lodge Los Angeles,"6501 Forest Pl, Suite 100",Los Angeles,CA,90069
CUST000065,Bob Evans,4922 Maple Dr,Atlanta,GA,30335
CUST000066,Leo's Seafood,8236 Park St,Tampa,FL,33671
CUST000067,Albertsons,"3231 Highland Way, Suite 200",Tulsa,OK,74154
